ID,Store_Name,City,State,Zip Code,Population,Median_Income
8343,Target Clarkstown/West Nyack T-1083,West Nyack,NY,10994,7123,145814
8344,Target Memphis T-1030,Memphis,TN,38133,21300,75777
8345,Qfc-Mercer Island #839,Mercer Island,WA,98040,26081,144824
8346,Branchburg,Branchburg,NJ,8876,22714,94997
8347,Northpark Dr & Glade Valley Dr,Humble,TX,77339,39790,74337
8349,84 State Street,Boston,MA,2109,4332,123410
8351,Eastridge Mall - San Jose,San Jose,CA,95122,58826,76248
8352,"Channel Islands & Rose, Oxnard",Oxnard,CA,93033,85219,64217
8354,Lloyd Expwy & Green River Rd,Evansville,IN,47715,27728,47260
8355,"Michigan & Oakman, Dearborn",Dearborn,MI,48126,46192,37530
8356,Brooklyn Ctr-Brooklyn Blvd. & 55Th,Brooklyn Center,MN,55429,26524,56649
8357,2510 Reserve Street- Missoula,Missoula,MT,59801,32610,42238
8358,Cascade Village - Bend,Bend,OR,97701,37934,64257
8359,I-45 & West,Houston,TX,77037,20127,50196
8360,15Th & Custer,Plano,TX,75075,37264,81633
8361,Fm 1960 & Wilson Rd,Humble,TX,77338,40854,56162
8362,Great Hills Trail & Jolleyville,Austin,TX,78759,41010,81480
8363,"Mcclintock & Southern, Tempe",Tempe,AZ,85282,51005,60673
8364,"Baseline & 51St. Avenue, Laveen",Laveen,AZ,85339,40784,75582
8366,"State & Victoria, Santa Barbara",Santa Barbara,CA,93101,32577,62661
8367,"Waterville, Maine",Waterville,ME,4901,26412,45624
8370,Saddle Creek,Germantown,TN,38138,24221,102745
8371,I-20 And Trail Lake,Fort Worth,TX,76133,51950,59816
8372,Kroger - Savannah #645,Savannah,GA,31405,36101,53790
8373,Hinsdale-Washington & Hinsdale,Hinsdale,IL,60521,18510,170639
8375,Us 31 & Commerce,Franklin,IN,46131,32666,65168
8376,Mci Kansas City Int'l Term B Upper,Kansas City,MO,64153,5501,81548
8378,Eastwood Mall,Niles,OH,44446,20236,44676
8381,Target Peachtree City T-2129,Peachtree City,GA,30269,36289,101493
8383,Target Chicago T-2079,Chicago,IL,60659,38275,53919
8384,Target Lanham T-2007,Bowie,MD,20720,24633,146463
8385,Towson University - Cook Library,Towson,MD,21252,86,9999
8386,Target Fenton T-2105,Fenton,MI,48430,36320,75537
8387,Target St Paul/Oakdale T-2135,St. Paul,MN,55128,29181,74845
8388,Target Jefferson City T-752,Jefferson City,MO,65109,38290,61836
8389,Target O'fallon/Dardenne T-2103,Dardenne,MO,63368,44448,106664
8390,Horseshoe Casino Tunica,Tunica,MS,38664,3002,38806
8391,Target Kernersville T-2134,Kernersville,NC,27284,53753,65403
8392,Target Knightdale T-2111,Knightdale,NC,27545,27189,68151
8393,Super Target Charlotte St-2132,Charlotte,NC,28273,38241,69134
8394,Target Omaha T-2010,Omaha,NE,68122,11469,75594
8395,Target Omaha T-2125,Omaha,NE,68114,17444,58502
8396,Target Central Islip T-2102,Central Islip,NY,11722,34809,70226
8398,Target Big Flats T-2158,Big Flats,NY,14814,1869,83276
8399,Kroger - Liberty Township #383,Liberty,OH,45069,52114,94742
8400,Target Streetsboro T-2157,Streetsboro,OH,44241,16848,64690
8401,Target Sandusky T-2159,Sandusky,OH,44870,39619,47752
8402,Target Bainbridge T-2161,Aurora,OH,44202,20293,86491
8403,Target Uniontown T-2184,Uniontown,PA,15401,31729,42957
8404,Kroger-Myrtle Beach #26,Myrtle Beach,SC,29579,41895,58957
8405,Target Knoxville North T-2057,Knoxville,TN,37918,45297,56131
8406,Target Houston T-2093,Houston,TX,77007,37674,103179
8407,Target Houston/Westminister T-2139,Houston,TX,77063,36410,52462
8408,Tom Thumb - Plano #3645,Plano,TX,75074,53054,72278
8409,Target Brownsville T-2152,Brownsville,TX,78526,51906,57756
8410,Target Fredericksburg St-2138,Fredericksburg,VA,22407,59904,86442
8411,Russell Investments Center-Seattle,Seattle,WA,98101,14235,84645
8412,Brentwood & White,Brentwood,MO,63144,8888,80629
8413,I-24 & Hillsboro Hwy,Manchester,TN,37355,26359,56231
8414,Hwy 231 & Innsbrooke,Murfreesboro,TN,37127,17961,74778
8415,Target Lady Lake T-2058,Lady Lake,FL,32159,30067,49352
8416,8602 Hillsborough Ave,Tampa,FL,33615,45780,56696
8417,Super Target Ft Lauderdale/Davie St,Davie,FL,33328,28520,91909
8418,Tarpon Ave & Us Hwy 19,Tarpon Springs,FL,34689,27721,53031
8419,Fruit Cove Rd,Jacksonville,FL,32259,48653,111512
8420,Target Destin T-2085,Destin,FL,32541,18083,78525
8421,Super Target Ft Myers St-2059,Fort Myers,FL,33913,26590,85053
8422,Target Dora T-2062,Mount Dora,FL,32757,26664,64011
8423,Target Pinellas Park T-2064,Pinellas Park,FL,33781,26338,48871
8424,Target Lake Park T-1941,Lake Park,FL,33403,12867,53667
8425,I-10 & Thomasville Rd,Tallahassee,FL,32309,30666,85320
8426,Kroger-Alpharetta #444,Alpharetta,GA,30004,63446,114122
8427,Super Target Atlanta St-2036,Atlanta,GA,30346,5077,88247
